census_tract_GEOID,eviction_rate,total_evictions,eviction_filings,foreclosure_sales,foreclosure_rate,lien_foreclosures,lien_foreclosure_rate,year
12057013912,0.535714286,2.142857144,4.0,8.0,0.8791208791208791,4.0,0.3314001657000828,2017
12057012701,0.537878788,29.58333334,55.0,4.0,0.8456659619450317,6.0,0.683371298405467,2017
12057013204,0.588235294,13.529411762,23.0,3.0,0.5825242718446602,3.0,0.2425222312045271,2017
12057013908,0.4835164839999999,10.153846164,21.0,14.0,0.672107537205953,25.0,0.7969397513547977,2017
12057012600,0.571428571,19.999999985,35.0,1.0,0.1277139208173691,2.0,0.1680672268907563,2017
12057003000,0.529761905,26.48809525,50.0,1.0,0.9174311926605504,,,2017
12057005000,0.508474576,12.7118644,25.0,1.0,1.5384615384615383,,,2017
12057006900,0.54,12.96,24.0,4.0,0.3714020427112349,2.0,0.1124227093872962,2017
12057010304,0.535714286,11.785714292000002,22.0,7.0,1.1608623548922057,2.0,0.1966568338249754,2017
12057011416,0.534653465,14.435643555,27.0,14.0,1.2334801762114538,8.0,0.49813200498132,2017
12057013704,0.594095941,47.52767528,80.0,7.0,0.5094614264919942,28.0,1.5765765765765765,2017
12057013415,0.454545455,4.090909095,9.0,4.0,0.4602991944764096,1.0,0.0841750841750841,2017
12057013604,0.518072289,7.771084335,15.0,1.0,2.380952380952381,,,2017
12057013703,0.541436464,30.861878448,57.0,6.0,0.5217391304347827,5.0,0.364963503649635,2017
12057013806,0.653846154,1.307692308,2.0,2.0,0.3809523809523809,1.0,0.1402524544179523,2017
12057013807,0.529411765,13.76470589,26.0,12.0,0.6688963210702341,17.0,0.7327586206896551,2017
12057013913,0.344827586,2.413793102,7.0,5.0,0.2895193977996526,17.0,0.6340917568071615,2017
12057013914,0.533333333,2.133333332,4.0,3.0,0.6072874493927125,0.0,0.0,2017
12057013915,0.5,9.5,19.0,18.0,1.0072747621712368,21.0,0.9985734664764622,2017
12057013916,0.505747126,13.655172402000002,27.0,28.0,1.1217948717948718,15.0,0.4752851711026616,2017
12057013917,0.432835821,6.492537315,15.0,11.0,0.7773851590106008,19.0,1.1020881670533642,2017
12057013918,0.625,4.375,7.0,1.0,0.3745318352059925,,,2017
12057013919,0.4428571429999999,6.642857144999999,15.0,5.0,0.337154416722859,2.0,0.1132502831257078,2017
12057013920,0.25,3.0,12.0,5.0,0.7861635220125787,1.0,0.0965250965250965,2017
12057013921,0.25,0.25,1.0,5.0,0.4916420845624385,4.0,0.321285140562249,2017
12057012301,0.447154472,19.674796768,44.0,7.0,0.6529850746268656,1.0,0.0588581518540317,2017
12057013501,0.602189781,15.656934306,26.0,0.0,0.0,3.0,0.4120879120879121,2017
12057011003,0.581395349,51.162790712,88.0,3.0,0.7299270072992701,1.0,0.1422475106685633,2017
12057011612,0.518181818,12.436363632,24.0,11.0,1.0816125860373649,11.0,0.6853582554517134,2017
12057012207,0.560606061,12.893939403,23.0,17.0,1.161995898838004,12.0,0.576923076923077,2017
12057012303,0.537634409,7.526881726000001,14.0,3.0,0.8620689655172413,,,2017
12057012401,0.45,4.5,10.0,3.0,0.4926108374384236,,,2017
12057012702,0.593406593,14.241758232,24.0,5.0,1.5432098765432098,0.0,0.0,2017
12057013004,0.466666667,2.800000002,6.0,7.0,1.2844036697247707,0.0,0.0,2017
12057013100,0.45,5.4,12.0,2.0,0.5602240896358543,,,2017
12057013203,0.375,5.25,14.0,6.0,0.819672131147541,5.0,0.4873294346978557,2017
12057013207,0.454545455,4.54545455,10.0,4.0,0.5578800557880056,3.0,0.2331002331002331,2017
12057013313,0.515151515,7.21212121,14.0,7.0,0.8816120906801008,4.0,0.3012048192771084,2017
12057014108,0.419642857,12.58928571,30.0,8.0,1.2539184952978055,5.0,0.4248088360237893,2017
12057012106,0.461538462,7.384615392000001,16.0,6.0,0.570884871550904,3.0,0.1851851851851852,2017
12057012900,0.56,7.280000000000001,13.0,3.0,1.2987012987012987,1.0,0.1848428835489833,2017
12057011415,0.648648649,4.540540543,7.0,3.0,0.2483443708609271,3.0,0.1845018450184501,2017
12057011514,0.457142857,3.199999999,7.0,13.0,1.007751937984496,10.0,0.5431830526887561,2017
12057011607,0.481203008,15.398496256,32.0,4.0,0.3762935089369708,6.0,0.2424242424242424,2017
12057011613,0.598253275,41.279475975,69.0,8.0,1.36986301369863,1.0,0.0947867298578199,2017
12057011706,0.477848101,31.537974666,66.0,5.0,0.7363770250368188,,,2017
12057012002,0.530726257,28.659217878,54.0,10.0,1.968503937007874,1.0,0.1310615989515072,2017
12057012501,0.55,8.8,16.0,1.0,0.1798561151079137,7.0,0.6340579710144928,2017
12057013310,0.444444444,5.777777772,13.0,2.0,0.3929273084479371,1.0,0.1494768310911808,2017
12057013311,0.439393939,15.818181804,36.0,3.0,0.9803921568627452,2.0,0.33003300330033,2017
12057000800,0.531446541,34.544025165,65.0,5.0,1.0964912280701753,,,2017
12057004200,0.540540541,3.783783787,7.0,12.0,6.417112299465241,,,2017
12057004300,0.487437186,6.336683418000001,13.0,1.0,12.5,,,2017
12057005101,0.386666667,3.093333336,8.0,52.0,21.39917695473251,5.0,1.529051987767584,2017
12057005900,0.470588235,3.294117645,7.0,3.0,0.2238805970149253,0.0,0.0,2017
12057006700,0.590909091,2.954545455,5.0,1.0,0.0677048070412999,1.0,0.0516262261228704,2017
12057010106,0.595744681,4.765957448,8.0,7.0,1.0071942446043165,,,2017
12057010204,0.5792682929999999,47.500000026,82.0,6.0,1.0135135135135136,2.0,0.1895734597156398,2017
12057010805,0.574754902,88.512254908,154.0,1.0,0.9345794392523364,0.0,0.0,2017
12057010900,,,,,,,,2017
